,ts,MAPE
471,0.08,0.2439179339057124
900,0.08,0.24381939885438514
301,0.05,0.24377899966705613
892,0.08,0.24368544473533857
743,0.05,0.2435096208145642
838,0.11,0.2433009002905271
263,0.05,0.2432690720467616
767,0.13,0.24323514324744053
780,0.08,0.24322693226475803
760,0.15,0.24318123874230987
570,0.08,0.2431510560923916
248,0.11,0.2431133239106688
998,0.17,0.24307487369638686
835,0.18,0.2430329048108112
444,0.1,0.24286828159753168
384,0.21,0.24283952461106245
139,0.11,0.24282796614747912
254,0.09,0.24275810365989964
655,0.22,0.2427403668514446
923,0.18,0.24271665785838234
524,0.25,0.2427102427722697
314,0.93,0.24270147502773248
410,0.07,0.2426998425871435
535,0.21,0.2426865522961859
283,0.09,0.24267720438780135
377,0.16,0.24266682287694621
850,0.15,0.24265769065833043
834,0.39,0.24263519782915274
326,0.24,0.24263228259139347
346,0.05,0.2426281290596229
666,0.21,0.2426133926273448
669,0.27,0.24259996007762338
696,0.16,0.24259432637912076
748,0.12,0.24258249810485785
375,0.11,0.2425807276265505
952,0.7,0.24254357798021528
354,0.12,0.24251264439515632
474,0.88,0.2425107246220095
73,0.14,0.24250648862935711
415,0.92,0.24250184112684234
805,0.14,0.24250003496152875
15,0.62,0.24249401358831635
120,0.91,0.24249149552236055
817,0.1,0.24249133159634237
64,0.72,0.24249126820187958
693,0.29,0.24248870741374895
27,0.91,0.2424844781845064
584,0.53,0.24248404534143675
20,0.09,0.2424785144859931
889,0.8,0.24247668074638112
812,0.2,0.24247514979757906
626,0.62,0.2424621513599737
962,0.38,0.24245961481922398
653,0.44,0.24245848362059103
902,0.36,0.24245739256761525
797,0.23,0.24245156496476572
33,0.94,0.2424484361338976
159,0.08,0.24244838050690096
239,0.06,0.2424408649822468
906,0.16,0.24242657568541168
170,0.94,0.242426445762126
242,0.91,0.24242358807021686
529,0.93,0.24241557204085698
47,0.93,0.24241288958741022
731,0.58,0.24240800034171045
84,0.5,0.2424043664243044
848,0.91,0.2423999814218523
468,0.13,0.24239701574059808
19,0.79,0.24239647296677796
773,0.5,0.2423925316522076
45,0.46,0.2423890216621342
246,0.28,0.24238717882342098
274,0.81,0.24236977987168118
72,0.92,0.2423697629265429
566,0.43,0.2423671704676082
333,0.37,0.24236555284300018
924,0.24,0.24236407285348216
