,ts,MAPE
12,0.8,0.24257432600346654
99,0.06,0.24254814022879617
50,0.15,0.2424799758247358
59,0.55,0.24244906321364185
88,0.12,0.2424164871821335
63,0.08,0.24228341840677145
95,0.66,0.24223875053720367
15,0.28,0.24223073120851688
67,0.69,0.24220197270285315
76,0.17,0.24219389307973951
97,0.93,0.242187990324178
90,0.08,0.2421863819881069
84,0.24,0.2421833087701846
71,0.42,0.24216542849182793
57,0.67,0.24215889171026936
92,0.58,0.24215349274001094
8,0.32,0.24215099142055113
62,0.26,0.24213858930303597
26,0.81,0.242110844729295
13,0.84,0.24209397540045083
21,0.93,0.24209294553217472
85,0.43,0.24206277914924954
0,0.62,0.24205844374659133
72,0.68,0.24205442876693545
81,0.12,0.24202431307803346
54,0.52,0.24201974655962652
19,0.42,0.24201213501328078
35,0.35,0.24197846688836866
78,0.59,0.24195430695815015
40,0.87,0.24194709492209918
44,0.65,0.24194156240462988
52,0.21,0.24193074959891253
4,0.24,0.2419225804148821
69,0.75,0.2419072794659209
61,0.72,0.24190699726502218
11,0.69,0.24189687054771683
17,0.74,0.24188355096274372
38,0.29,0.24187446782024402
16,0.89,0.241862620277648
23,0.63,0.24185531670124066
66,0.51,0.24184931214178768
28,0.57,0.2418361792384633
89,0.32,0.24181533661661406
5,0.2,0.24180987001978044
29,0.48,0.24178802412009043
14,0.16,0.24177952213276863
51,0.1,0.24177918867527967
25,0.44,0.241770383104171
55,0.49,0.24176319296630422
74,0.66,0.24175935862577602
1,0.71,0.24175247589205495
34,0.62,0.24174348444722524
45,0.85,0.2417390009850619
47,0.35,0.241727006733545
68,0.9,0.24172612840514598
94,0.92,0.24168693083231713
70,0.5,0.24167629066703664
53,0.19,0.2416703061905517
10,0.53,0.24167019461165576
31,0.41,0.2416693647728844
64,0.53,0.24164699694819822
80,0.25,0.24164268464269728
79,0.57,0.24164116065296884
24,0.64,0.2416364622251486
41,0.16,0.2416345327992725
27,0.59,0.2416319912236625
43,0.26,0.24160489085784081
22,0.72,0.24159254596349583
91,0.82,0.24159176655015113
75,0.18,0.24158709587210334
33,0.45,0.2415856895821668
98,0.66,0.24158408761804362
93,0.88,0.24157673552234116
77,0.42,0.24156367335437579
87,0.78,0.24155704643685827
86,0.64,0.24154270906755235
60,0.36,0.24152139119650068
58,0.59,0.24147257921295198
32,0.53,0.2414717263642789
2,0.24,0.2414590192144995
3,0.62,0.24143351671487281
37,0.7,0.24141145443826273
46,0.38,0.2413843491353583
56,0.29,0.24136999240104864
9,0.18,0.24136530115007104
36,0.61,0.2413592487756368
96,0.71,0.24133842953640747
48,0.93,0.24133590617559406
83,0.36,0.24132220713993002
39,0.89,0.24131793973665014
18,0.49,0.24128690645624706
20,0.22,0.24124127934563208
42,0.13,0.24121776860078412
73,0.05,0.24120018351769618
7,0.31,0.2410727973869771
65,0.15,0.24103755887540798
82,0.28,0.240922363208131
49,0.21,0.2408870844572579
6,0.14,0.24034655105670732
30,0.07,0.24024707981489965
