,ts,MAPE,prof
16,0.81,0.21026807680952164,5
79,0.61,0.20985200052845335,5
41,0.07,0.19922483398247412,6
13,0.89,0.19909830665634035,6
29,0.52,0.19879984131002007,6
71,0.48,0.18607266913265794,7
52,0.91,0.18377874874685185,7
44,0.56,0.18367108808865532,7
38,0.44,0.17253973548055215,8
72,0.16,0.1584000982809937,9
32,0.33,0.14433479730814094,10
1,0.7,0.13933225860849577,10
43,0.78,0.13887757549414995,10
18,0.54,0.12395828013760697,11
85,0.45,0.1215533319013001,11
59,0.14,0.1212577220175929,11
62,0.77,0.12116638607913861,11
61,0.92,0.10617280741547223,13
22,0.31,0.10259084675923094,12
97,0.72,0.09092680638274467,13
24,0.51,0.08827901630113275,13
54,0.64,0.06964820393400942,14
35,0.26,0.06817105430192802,14
10,0.87,0.05528744057053881,16
34,0.05,0.052993576157419946,15
31,0.94,0.047169625529542604,38
60,0.94,0.04552321458250184,34
64,0.89,0.04467704718697984,18
65,0.29,0.04280879939984763,16
17,0.92,0.03587446573648467,39
94,0.91,0.035708642763362254,22
3,0.39,0.03558194468962652,17
91,0.92,0.034851893588355914,49
69,0.09,0.033777145293415654,17
84,0.91,0.0329521227599284,31
93,0.22,0.03185670534399526,17
70,0.42,0.03176080954946893,17
87,0.9,0.029894057672557362,40
83,0.91,0.029366630777475904,47
66,0.65,0.028484890813379238,18
95,0.67,0.022552711639876613,19
11,0.34,0.020379356324721976,19
2,0.65,0.019153833428201313,20
63,0.05,0.019121166008866007,19
9,0.85,0.01788126924269995,32
4,0.29,0.017647466138280252,19
81,0.82,0.01626017721964653,28
92,0.83,0.016039171132555503,44
90,0.82,0.015769062957686993,39
14,0.81,0.01475136682736567,37
15,0.77,0.013549678253549429,44
48,0.78,0.012927211200097101,27
0,0.65,0.012842943773887,22
74,0.73,0.011841057497536323,24
47,0.76,0.011802977253558986,35
88,0.7,0.010081870728881557,29
26,0.71,0.010076179994946416,35
67,0.29,0.009521035950363507,22
82,0.61,0.008737484842818385,24
7,0.68,0.008381058824644337,46
27,0.52,0.0076440922137295695,27
75,0.61,0.0073328289538310285,34
23,0.61,0.007077822592853989,37
58,0.51,0.005973324843595213,48
33,0.2,0.005664774585828786,23
40,0.52,0.0055962669726519025,36
86,0.52,0.0055724597224949225,43
73,0.51,0.005567392330843202,49
39,0.44,0.005471628020148229,26
12,0.49,0.005384852432857215,29
8,0.48,0.005283077942424712,49
45,0.48,0.005111934455899079,31
19,0.43,0.005027405873021306,48
56,0.47,0.004845362059035705,30
77,0.07,0.004840799877633188,24
5,0.44,0.004810916395345169,47
50,0.42,0.004760045353330701,42
6,0.45,0.004713236330373145,34
78,0.39,0.004693590929885803,41
76,0.39,0.004636227490736234,29
89,0.09,0.004568881184132735,25
37,0.16,0.0044553155372415556,25
20,0.39,0.004266446256678811,36
96,0.36,0.004252623226897999,37
98,0.23,0.004186214572520131,26
42,0.31,0.004115593304787598,37
49,0.36,0.00410772315699219,44
68,0.27,0.004086365448310715,49
46,0.25,0.003853907306323826,34
55,0.32,0.0037449562442787446,46
30,0.34,0.003694621959162933,42
21,0.26,0.003673190116422064,49
57,0.31,0.0036312446673531333,34
99,0.21,0.003544334479750957,44
80,0.13,0.0033774673922849904,29
53,0.17,0.0033300119675025858,32
25,0.22,0.003152246266370912,47
51,0.11,0.003074172820951448,35
36,0.08,0.0029520980543519077,35
28,0.05,0.002710093920876384,35
